material_id,formula,band_gap,e_above_hull,composition_obj,space_group,predicted_gap_pbe,predicted_gap_exp,prediction_uncertainty,uncertainty,priority_score
mp-1111471,Cs2CuBiCl6,1.118399999999999,0.024176087499995003,Cs2 Cu1 Bi1 Cl6,225,1.2827573188297419,1.2827573188297419,0.16284571811474305,0.16284571811474313,0.4963149885663892
mp-567644,RbCu2Br3,1.6395,0.0,Rb2 Cu4 Br6,63,1.4630967707229348,1.4630967707229348,0.1687683949234354,0.16876839492343537,0.4942765208595383
mp-568333,K2SnBr6,1.1772,0.016185831111111,K2 Sn1 Br6,225,1.3026992707166194,1.3026992707166194,0.09001487910754453,0.09001487910754456,0.4926671887001076
mp-1112544,Cs2TlAsI6,1.0046,0.0,Cs2 Tl1 As1 I6,225,1.21788434147524,1.2178843414752403,0.16494685207898216,0.16494685207898216,0.4922677198971731
mp-28501,K2(NbCl3)3,1.086799999999999,0.0,K4 Nb6 Cl18,12,1.2191866151642017,1.219186615164202,0.16232409068251247,0.16232409068251252,0.4919045200205744
mp-567515,Rb2Hg2PdBr8,1.5753,0.0,Rb2 Hg2 Pd1 Br8,12,1.4518750612123925,1.451875061212393,0.14525750731307646,0.1452575073130765,0.4902907820259469
mp-22976,Rb2(NbCl3)3,1.074899999999999,0.0,Rb4 Nb6 Cl18,12,1.2276320967786487,1.227632096778649,0.1444041573624399,0.1444041573624399,0.48869275114506217
mp-1110811,Rb2AgBiBr6,1.581999999999999,0.030073661374996,Rb2 Ag1 Bi1 Br6,225,1.3825293327571049,1.3825293327571049,0.15254742283525682,0.15254742283525677,0.4863067405383805
mp-1110737,RbInBr3,1.3264,0.0251928205,Rb2 In2 Br6,225,1.3472674192467582,1.3472674192467584,0.07004724682769482,0.07004724682769481,0.48560661191034127
mp-568231,RbMnBr3,1.2358,0.0,Rb6 Mn6 Br18,185,1.2446151911868861,1.2446151911868861,0.11019203112770763,0.11019203112770762,0.4839483181740081
mp-23515,K2CoCl4,0.8932,0.0,K24 Co12 Cl48,33,1.129264203788862,1.129264203788862,0.3060254998514408,0.3060254998514408,0.48182024354437647
mp-1078250,Cs2AgBiBr6,1.3547,0.0055248698125010005,Cs2 Ag1 Bi1 Br6,225,1.2495898937123668,1.2495898937123668,0.12063578727311834,0.12063578727311841,0.479239074880685
mp-1112480,K2AgAsCl6,1.5190000000000001,0.013737397250002002,K2 Ag1 As1 Cl6,225,1.4029815457669834,1.4029815457669834,0.1046486310469115,0.10464863104691144,0.47495931847508316
